2000|Ed4|delangre2000rp-3|Ondes variqueuses absolument instables dans un canal elastique|Audelangre|Stpub|328&#40;1&#41;|61|65|Rsno|Pppd|Dr5|Kw1|
2000|Ed39|delangre2000rp-4|Measurement of critical velocities for fluid-elastic instability using vibration control|Aucaillaud Audelangre Aupiteau|Stpub|122|341|345|Rsno|Pppd|Dr5|Kw5|
2002|Ed43|sellier2002rp-3|Asymptotic analysis of Low Reynolds number flow with a linear shear past a circular cylinder|Ausellier Aukida Auueda|Stpub|45&#40;4&#41;|759|769|Rsno|Pppd|Dr7||
2000|Ed4|manneville2000rp-1|A model for transitional plane Couette flow|Aumanneville Aulocher|Stpub|328|159|164|Rsno|Pppd|Dr2||
1997|Ed25|lemaitre1997rp-1|Conditional mean field for chaotic coupled map lattices|Aulemaitre Auchate Aumanneville|Stpub|39|377|382|Rsno|Pppd|Dr2||
1999|Ed25|lemaitre1999rp-2|Macroscopic model for collective behavior of chaotic coupled map lattices|Aulemaitre Auchate|Stpub|46|565|570|Rsno|Pppd|Dr2||
2006|Ed1|lesshafft2006rp-1|Nonlinear global modes in hot jets|Aulesshafft Auhuerre Ausagaut Auterracol|Stpub|554|393|409|Rsno|Pppd|Dr1||
1999|Ed46|lemaitre1999rp-3|Renormalization group for strongly coupled maps|Aulemaitre Auchate|Stpub|96|915|962|Rsno|Pppd|Dr2||
2002|Ed44|matteo2002rp-3|Vortex-induced vibrations of risers &#58; theoretical&#44; numerical and experimental investigation|Aulecunff Aubiolley Aufontaine Auetienne Aumatteo|Stpub|57&#40;1&#41;|59|69|Rsno|Pppd|Dr5||
1995|Ed13|manneville1995rp-1|From temporal to spatio-temporal chaos &#40;and turbulence&#63;&#41;|Aumanneville|Stpub|88|1|15|Rsno|Pppd|Dr2||
2001|Ed42|manneville2001rp-1|Time delay study of earth orientation parameters at inter-annual time scales|Aumanneville|Stpub|4|94|105|Rsno|Pppd|Dr2||
1995|Ed12|ledizes1995rp-1|Viscous structure of plane waves in spatially developing shear flows|Auledizes Aumonkewitz Auhuerre|Stpub|7|1337|1347|Rsno|Pppd|Dr3||
