2015|P.&nbsp;Augier, P.&nbsp;Billant and J.&nbsp;M.&nbsp;Chomaz.|Stratified turbulence forced with columnar dipoles&#58; numerical study|Journal&nbsp;of&nbsp;Fluid&nbsp;Mechanics,|769:403-443||augier2015rp-1pp.pdf|
2015|A.&nbsp;Benusiglio, F.&nbsp;Chevy, E.&nbsp;Raphael and C.&nbsp;Clanet.|Wave drag on a submerged sphere|Physics&nbsp;of&nbsp;Fluids,|27 - 072101||benusiglio2015rp-1pp.pdf|
2015|F.&nbsp;Bozsak, D.&nbsp;Gonzalez-Rodriguez, Z.&nbsp;Sternberger, J.&nbsp;M.&nbsp;Chomaz and A.&nbsp;Barakat.|Optimization of Drug Delivery by Drug-Eluting Stents|Plos&nbsp;One,|10 - e0130182||bozsak2015rp-1pp.pdf|
2015|C.&nbsp;Clanet.|Sports ballistics|Annual&nbsp;Review&nbsp;of&nbsp;Fluid&nbsp;Mechanics,|47 - 455-78||clanet2015rp-1pp.pdf|
2015|C.&nbsp;Cohen, B.&nbsp;Darbois-Texier, D.&nbsp;Quere and C.&nbsp;Clanet.|The physics of badminton|New&nbsp;journal&nbsp;of&nbsp;Physics,|17 - 063001||cohen2015rp-1pp.pdf|
2015|C.&nbsp;Cohen, T.&nbsp;Mouterde, D.&nbsp;Quere and C.&nbsp;Clanet.|Capillary muscle|Proceedings&nbsp;of&nbsp;the&nbsp;National&nbsp;Academy&nbsp;of&nbsp;Sciences,|112:6301-6306||cohen2015rp-2pp.pdf|
2015|E.&nbsp;de&nbsp;Langre and O.&nbsp;Doaré.|Edge flutter of long beams under follower loads|Journal&nbsp;of&nbsp;Mechanics&nbsp;of&nbsp;Materials&nbsp;and&nbsp;Structures,|10:283-197||delangre2015rp-1pp.pdf|
2015|C.&nbsp;Duprat, H.&nbsp;Berthet, J.&nbsp;S.&nbsp;Wexler, O.&nbsp;du&nbsp;Roure and A.&nbsp;Lindner.|Microfluidic in situ mechanical testing of photopolymerized gels|Lab&nbsp;on&nbsp;Chip,|15:244-244||duprat2015rp-1pp.pdf|
2015|C.&nbsp;Duprat and S.&nbsp;Protière.|Capillary stretching of fibers|EPL&nbsp;-&nbsp;Europhysics&nbsp;Letters,|111 - 56006||duprat2015rp-2pp.pdf|
2015|D.&nbsp;Faranda, V.&nbsp;Lucarini, P.&nbsp;Manneville and J.&nbsp;Wouters.|On using extreme&#44;values to detect stability thresholds in multi-stable systems&#58; The case of transitional plane Couette flow|Chaos,&nbsp;Solitons&nbsp;&&nbsp;Fractals,|64:26-35|||
2015|E.&nbsp;Fradet, C.&nbsp;Bayer, F.&nbsp;Hollfelder and C.&nbsp;Baroud.|Measuring Fast and Slow Enzyme Kinetics in Stationary Droplets|Analytical&nbsp;Chemistry,|87 -23:1191-1192||fradet2015rp-1pp.pdf|
2015|A.&nbsp;Funfak, C.&nbsp;Fisch, H.&nbsp;T.&nbsp;Abdel&nbsp;Motaal, J.&nbsp;Diener, L.&nbsp;Combettes, C.&nbsp;Baroud and P.&nbsp;Dupuis-Williams.|Paramecium swimming and ciliary beating patterns&#58; a study on four RNA interference mutations|Integrative&nbsp;Biology,|7 &#40;1&#41;:90-100||funfak2015rp-1pp.pdf|
2015|A.&nbsp;Gauthier, S.&nbsp;Symon, C.&nbsp;Clanet and D.&nbsp;Quere.|Water impacting on superhydrophobic macrotextures|Nature&nbsp;Communications,|6 - 8001||gauthier2015rp-1pp.pdf|
2015|D.&nbsp;Gonzalez-Rodriguez, S.&nbsp;Sart, A.&nbsp;Babataheri, D.&nbsp;Tareste, A.&nbsp;Barakat, C.&nbsp;Clanet and J.&nbsp;Husson.|Elastocapillary Instability in Mitochondrial Fission|Physical&nbsp;Review&nbsp;Letters,|115 - 088102||gonzalez2015rp-1pp.pdf|
2015|D.&nbsp;Gonzalez-Rodriguez and A.&nbsp;Barakat.|Dynamics of Receptor-Mediated Nanoparticle Internalization into Endothelial Cells|Plos&nbsp;One,|e0122097||gonzalez2015rp-2pp.pdf|
2015|C.&nbsp;Guermonprez, S.&nbsp;Michelin and C.&nbsp;Baroud.|Flow distribution in parallel microfluidic networks and its effect on concentration gradients|Biomicrofluidics,|9 - 054119||guermonprez2015rp-1pp.pdf|
2015|P.&nbsp;Hémon.|Processing of dynamic wind pressure loads for temporal simulations|Wind&nbsp;and&nbsp;Structures,|21 - 4:425-442||hemon2015rp-1pp.pdf|
2015|B.&nbsp;Hogan, A.&nbsp;Babataheri, Y.&nbsp;Hwang, A.&nbsp;Barakat and J.&nbsp;Husson.|Characterizing Cell Adhesion by Using Micropipette Aspiration|Biophysical&nbsp;Journal,|109:209-219||hogan2015rp-1pp.pdf|
2015|T.&nbsp;D.&nbsp;Montenegro&nbsp;Johnson, S.&nbsp;Michelin and E.&nbsp;Lauga.|A regularised singularity approach to phoretic problems|The&nbsp;European&nbsp;Physical&nbsp;Journal&nbsp;E,|38 - 139||johnson2015rp-1pp.pdf|
2015|R.&nbsp;V.&nbsp;K.&nbsp;Chakravarthy, L.&nbsp;Lesshafft and P.&nbsp;Huerre.|Local linear stability of laminar axisymmetric plumes|Journal&nbsp;of&nbsp;Fluid&nbsp;Mechanics,|780:344-369||lesshafft2015rp-1pp.pdf|
2015|L.&nbsp;Lopez, E.&nbsp;de&nbsp;Langre and S.&nbsp;Michelin.|A space-averaged model of branched structures|Computers&nbsp;and&nbsp;Structures,|146:12-19||lopez2015rp-1pp.pdf|
2015|C.&nbsp;Lv, C.&nbsp;Clanet and D.&nbsp;Quere.|Retraction of large liquid strips|Journal&nbsp;of&nbsp;Fluid&nbsp;Mechanics,|778 - R6||lv2015rp-1pp.pdf|
2015|P.&nbsp;Manneville.|On the transition to turbulence of wall-bounded flows in general&#44; and plane Couette flow in particular|European&nbsp;Journal&nbsp;of&nbsp;Mechanics&nbsp;B/Fluids,|49:345-362||manneville2015rp-1pp.pdf|
2015|G.&nbsp;Meneghello, P.&nbsp;J.&nbsp;Schmid and P.&nbsp;Huerre.|Receptivity and sensitivity of the leading-edge boundary layer of a swept wing|Journal&nbsp;of&nbsp;Fluid&nbsp;Mechanics,|775 R1||meneghello2015rp-1pp.pdf|
2015|S.&nbsp;Michelin, T.&nbsp;D.&nbsp;Montenegro&nbsp;Johnson, G.&nbsp;De&nbsp;Canio, N.&nbsp;Lobato-Dauzier and E.&nbsp;Lauga.|Geometric pumping in autophoretic channels|Soft&nbsp;Matter,|11:5804-5811||michelin2015rp-1pp.pdf|
2015|S.&nbsp;Michelin and E.&nbsp;Lauga.|A reciprocal theorem for boundary-driven channel flow|Physics&nbsp;of&nbsp;Fluids,|27 - 111701||michelin2015rp-2pp.pdf|
